buque_ctmfm,matricula,eslora,buque,categ,venc,callsign,IMO,MMSI
ALBAMAR,MVDEO-7798,20.9,ALBAMAR,B,19/9/2025,CXRI,9070929,770576113
ANTARES - I,MVDEO-7671,19.62,ANTARES I,B,23/6/2025,CXOS,,770576120
ATLANTIC JANE,MVDEO-7896,46.23,ATLANTIC JANE,A,NA,CXUK,6700169,770576200
ATLANTIC RUTHANN,MVDEO-7894,46.23,ATLANTIC RUTHANN,A,23/12/2024,CXSD,6723757,770576059
BADARO,MVDEO-8625,49.9,BADARO,C,31/7/2025,CXZU2,9053464,770576353
BESUGO - I,MVDEO-7635,19.62,BESUGO I,B,20/9/2025,CXON,,770576159
BESUGO - II,MVDEO-7636,19.62,BESUGO II,B,19/10/2025,CXOO,,770576160
CACIQUE,MVDEO-7943,22.27,CACIQUE,B,8/7/2025,CXUO,,770576103
CALON - I,MVDEO-5708,21.65,CALON I,B,22/7/2025,CXHI,,770576148
CALON - II,MVDEO-5709,21.65,CALON II,B,19/7/2025,CXHJ,,770576149
CANADIAN SPIRIT,MVDEO-8667,52.67,CANADIAN SPIRIT,C,24/8/2025,CXZX2,8213196,770576401
COPAMAR,MVDEO-7799,20.9,COPAMAR,B,18/12/2024,CXRH,9070917,770576114
CORAL,MVDEO-8056,58.42,CORAL,A,5/8/2025,CXAW,7218814,770576062
DARTESA - I,MVDEO-5381,19.95,DARTESA I,B,10/2/2025,CXGL,,770576184
DARTESA - II,MVDEO-5382,20.25,DARTESA II,B,7/2/2025,CXGO,,770576185
DARTESA - III,MVDEO-5668,21.7,DARTESA III,B,21/9/2025,CXHA,,770576182
EMPERADOR,MVDEO-7867,21.17,EMPERADOR,B,19/9/2025,CXTN,,
EXPRESO OPTIMO - 2,MVDEO-6940,21.35,EXPRESO OPTIMO 2,B,20/10/2025,,,
FLORIDA S-1,MVDEO-1756,27,FLORIDA S-1,B,18/7/2025,CXEN,5116696,770576117
GRANDE HERMINE,MVDEO-8796,53.51,GRANDE HERMINE,A,30/9/2025,CXAC,8407175,770576481
HECHICERO,MVDEO-7788,20.9,HECHICERO,B,1/9/2025,CXRM,,770576142
INSIGNIA - I,MVDEO-7285,27.15,INSIGNIA I,B,8/7/2025,CXMB,,770576146
KALATXORI,MVDEO-8747,49.44,KALATXORI,A,24/9/2025,CXZZ8,8517463,770576463
KRIOS,MVDEO-7904,21.42,KRIOS,B,4/9/2025,CXUZ,,770576187
LA CRUZ DEL SUR,MVDEO-7791,30.65,LA CRUZ DEL SUR,B,23/12/2024,CXML,6904650,770576104
LEAL SANTOS - 12,MVDEO-7977,19.77,LEAL SANTOS 12,B,3/6/2025,CXXY,,770576108
MANDRAKE  I,MVDEO-7665,27,MANDRAKE I,B,17/9/2025,CXPW,,770576047
MARIA LAURA I,MVDEO-6948,25,MARIA LAURA I,B,27/9/2025,CXLC,7912082,770576115
MARIANNE,MVDEO-7886,43.92,MARIANNE,A,31/3/2025,CXTA,,770576134
NILTO I,MVDEO-7887,43.92,NILTO I,A,9/2/2025,CXTB,6974289,770576135
NONI II,MVDEO-7941,21.94,NONI II,B,20/10/2025,CXUB,,770576102
OCEAN AZUL,MVDEO-8783,69.23,OCEAN AZUL,C,24/1/2026,CXOH,8704925,770576483
PINTAMAR,MVDEO-7416,24.48,PINTAMAR,B,16/10/2025,CXMW,,770576214
PONTA DAS BOMBAS II,MVDEO-P 1206,18.72,PONTA DAS BOMBAS II,C,22/9/2025,CXZH,,770576315
PROA PIONEER,MVDEO-8516,42.19,PROA PIONEER,C,12/7/2025,CXCV,8808850,770576305
PROMAR XXI,MVDEO-7883,24.75,PROMAR XXI,B,26/8/2025,CXVK,,770576096
PROMAR XXII,MVDEO-7884,24.75,PROMAR XXII,B,28/7/2025,CXVL,,770576122
PROMOPES I,MVDEO-6630,29.19,PROMOPES I,A,23/12/2024,CXJX,7825485,770576124
QIAN LIAN 1,MVDEO-8171,20.29,QIAN LIAN 1,B,12/10/2025,CXAX,,770576088
QIAN LIAN 2,MVDEO-8362,23.04,QIAN LIAN-2,B,19/9/2025,CXDG,,770576253
RIANXO,MVDEO-7767,20.99,RIANXO,B,23/6/2025,CXQN,,770576123
RIO SOLIS,MVDEO-5463,58.97,RIO SOLIS,A,15/6/2025,CXGM,6806949,770576080
RIO SOLIS II,MVDEO-8341,57.79,RIO SOLIS II,A,11/11/2024,CXXV,8702317,770576106
RIO SOLIS III,,,,A,,CXWP,,
RIO SOLIS IV,P-1260,52.2,RIO SOLIS IV,A,21/10/2025,CXRS,8802571,770576089
S-5 LAVALLEJA,MVDEO-5445,26,S-5 LAVALLEJA,B,NA,,5424897,770576151
SANTA MARIA DEL MAR,MVDEO-6043,20.78,SANTA MARIA DEL MAR,B,11/7/2025,CXHG,,770576119
SOPESCA,MVDEO-7890,22.39,SOPESCA,B,4/9/2025,CXVB,,770576112
SOUTHERN STAR I,MVDEO-8763,49.44,SOUTHERN STAR I,C,19/9/2025,CXTS,7634305,770576233
TACUAREMBO S-2,MVDEO-1757,27,TACUAREMBO S-2,B,18/7/2025,CXE0,5348421,770576118
VILLALONGA,MVDEO-7931,21.42,VILLALONGA,B,30/6/2025,CXVA,,770576116
ZAANDAM,MVDEO-7897,43,ZAANDAM (3217),A,22/12/2024,CXTZ,6801860,770576064
ZURITA,MVDEO-7898,46.23,ZURITA,A,28/10/2024,CXTF,6704749,770576063
