vesselId,shipname,buque,categ,transmissionDateFrom,transmissionDateTo,score
713f3739c-c676-7922-46e5-94191124436c,ALBAMAR,ALBAMAR,B,2024-07-22T11:35:46Z,2025-10-14T23:55:44Z,0
98e4cdec1-197e-877c-de1b-d7f2528037f4,ALBAMAR,ALBAMAR,B,2015-03-12T16:40:31Z,2025-03-21T19:26:58Z,0
ba2b3250c-cd68-c8a0-beda-f62da84af552,ANTARES I,ANTARES I,B,2017-01-28T17:49:34Z,2025-10-14T23:59:40Z,0
cffbd9c80-033b-a1d1-cc3b-36787ee35d6f,ATLANTIC JANE,ATLANTIC JANE,A,2017-10-02T18:10:42Z,2025-10-14T23:59:40Z,0
1cac4da5f-fdf4-1880-03a3-8b78c23d6604,ATLANTIC RUTHANN,ATLANTIC RUTHANN,A,2017-08-30T14:30:53Z,2025-10-10T20:05:58Z,0
392e60499-9afb-31f8-2e3b-581606d4d072,BADARO,BADARO,C,2015-08-31T14:26:54Z,2024-09-02T13:21:28Z,0
89bee7cec-c8b0-1c30-598d-e122e05b73ad,BADARO,BADARO,C,2024-09-02T13:21:38Z,2025-10-14T23:55:14Z,0
9ce0660ba-ae17-4ecc-5b96-c0db2fbd23e8,BESUGO 1,BESUGO I,B,2012-12-21T13:10:48Z,2025-10-14T23:59:40Z,0.0833333333333334
9710a318d-deb9-0e05-3b15-16362e27e971,BESUGO II,BESUGO II,B,2012-01-13T03:23:31Z,2025-10-14T23:59:40Z,0
017ad2943-3eb9-7eed-fb47-de11ee714c23,CACIQUE,CACIQUE,B,2013-02-28T13:33:52Z,2025-10-14T23:59:20Z,0
8c533f92b-b3a9-1f6e-5ce2-aabd2d71b08a,CALON I,CALON I,B,2018-07-23T20:20:40Z,2025-10-14T23:59:40Z,0
53c4eb590-0d8a-df86-ebe0-5988e2a960c1,CALON II,CALON II,B,2012-06-16T01:22:03Z,2025-10-14T23:59:40Z,0
