"cuad";"subcuad";"latitude";"longitude";"fleet";"trimester";"fishing_h"
"343";"c";-34.75;-53.75;"B";4;1.98861111111111
"344";"c";-34.75;-54.75;"A";3;0.998611111111111
"344";"c";-34.75;-54.75;"B";1;5.87194444444444
"344";"c";-34.75;-54.75;"B";2;8.02166666666667
"344";"c";-34.75;-54.75;"B";3;53.5738888888889
"344";"c";-34.75;-54.75;"B";4;0.836666666666667
"344";"d";-34.75;-54.25;"B";1;5.57166666666667
"344";"d";-34.75;-54.25;"B";2;36.4952777777778
"344";"d";-34.75;-54.25;"B";3;79.2375
"344";"d";-34.75;-54.25;"B";4;20.5866666666667
"345";"c";-34.75;-55.75;"A";3;5.74666666666667
"345";"c";-34.75;-55.75;"B";1;5.75083333333333
"345";"c";-34.75;-55.75;"B";2;23.0241666666667
"345";"c";-34.75;-55.75;"B";3;496.321111111111
"345";"c";-34.75;-55.75;"B";4;553.2875
"345";"d";-34.75;-55.25;"A";3;2.10888888888889
"345";"d";-34.75;-55.25;"B";1;4.51111111111111
"345";"d";-34.75;-55.25;"B";2;16.5772222222222
"345";"d";-34.75;-55.25;"B";3;113.050277777778
"345";"d";-34.75;-55.25;"B";4;23.9647222222222
"346";"c";-34.75;-56.75;"B";3;88.4111111111111
"346";"d";-34.75;-56.25;"A";3;1.59583333333333
"346";"d";-34.75;-56.25;"B";3;28.1341666666667
"346";"d";-34.75;-56.25;"B";4;5.33111111111111
"347";"c";-34.75;-57.75;"A";1;1.9625
"352";"a";-35.25;-52.75;"A";4;10.3608333333333
"352";"c";-35.75;-52.75;"A";1;54.2611111111111
"352";"c";-35.75;-52.75;"A";3;18.5027777777778
"352";"c";-35.75;-52.75;"A";4;66.5927777777778
"353";"c";-35.75;-53.75;"A";4;3.54361111111111
"353";"d";-35.75;-53.25;"A";1;45.9813888888889
"353";"d";-35.75;-53.25;"A";3;11.5416666666667
"353";"d";-35.75;-53.25;"A";4;73.425
"354";"a";-35.25;-54.75;"A";2;2.4025
"354";"a";-35.25;-54.75;"B";1;31.7
"354";"a";-35.25;-54.75;"B";2;16.8033333333333
"354";"a";-35.25;-54.75;"B";3;97.0186111111111
"354";"a";-35.25;-54.75;"B";4;26.7808333333333
"354";"b";-35.25;-54.25;"B";1;10.3180555555556
"354";"b";-35.25;-54.25;"B";2;4.75638888888889
"354";"b";-35.25;-54.25;"B";3;33.6369444444444
"354";"b";-35.25;-54.25;"B";4;15.7533333333333
"354";"c";-35.75;-54.75;"B";4;12.5966666666667
"355";"a";-35.25;-55.75;"B";1;11.9858333333333
